From;To;Resources;tc_min;tc_max;c_exch_network
FR;IT;GAS;0;60;0.541
GB;IE;GAS;0;60;0.541
GB;BE;GAS;0;60;0.541
GB;NL;GAS;0;60;0.541
GB;DK;GAS;0;60;0.541
IE;GB;GAS;0;60;0.541
BE;GB;GAS;0;60;0.541
BE;NL;GAS;0;60;0.541
BE;DK;GAS;0;60;0.541
BE;LU;GAS;0;60;0.541
BE;DE;GAS;0;60;0.541
NL;GB;GAS;0;60;0.541
NL;DK;GAS;0;60;0.541
NL;BE;GAS;0;60;0.541
NL;DE;GAS;0;60;0.541
LU;FR;GAS;0;60;0.541
LU;BE;GAS;0;60;0.541
LU;DE;GAS;0;60;0.541
DE;LU;GAS;0;60;0.541
DE;BE;GAS;0;60;0.541
DE;NL;GAS;0;60;0.541
DE;DK;GAS;0;60;0.541
DE;SE;GAS;0;60;0.541
DE;PL;GAS;0;60;0.541
DE;CZ;GAS;0;60;0.541
DE;AT;GAS;0;60;0.541
DE;CH;GAS;0;60;0.541
DE;FR;GAS;0;60;0.541
DK;BE;GAS;0;60;0.541
DK;NL;GAS;0;60;0.541
DK;SE;GAS;0;60;0.541
DK;DE;GAS;0;60;0.541
SE;DK;GAS;0;60;0.541
SE;FI;GAS;0;60;0.541
SE;EE;GAS;0;60;0.541
SE;LV;GAS;0;60;0.541
SE;LT;GAS;0;60;0.541
SE;PL;GAS;0;60;0.541
FI;SE;GAS;0;60;0.541
FI;EE;GAS;0;60;0.541
EE;FI;GAS;0;60;0.541
EE;SE;GAS;0;60;0.541
EE;LV;GAS;0;60;0.541
LV;SE;GAS;0;60;0.541
LV;EE;GAS;0;60;0.541
LV;LT;GAS;0;60;0.541
LT;SE;GAS;0;60;0.541
LT;LV;GAS;0;60;0.541
LT;PL;GAS;0;60;0.541
PL;DE;GAS;0;60;0.541
PL;SE;GAS;0;60;0.541
PL;LT;GAS;0;60;0.541
PL;SK;GAS;0;60;0.541
PL;CZ;GAS;0;60;0.541
CH;FR;GAS;0;60;0.541
CH;DE;GAS;0;60;0.541
CH;AT;GAS;0;60;0.541
CH;IT;GAS;0;60;0.541
IT;FR;GAS;0;60;0.541
IT;CH;GAS;0;60;0.541
IT;AT;GAS;0;60;0.541
IT;SI;GAS;0;60;0.541
IT;HR;GAS;0;60;0.541
IT;GR;GAS;0;60;0.541
CZ;DE;GAS;0;60;0.541
CZ;PL;GAS;0;60;0.541
CZ;SK;GAS;0;60;0.541
CZ;AT;GAS;0;60;0.541
AT;IT;GAS;0;60;0.541
AT;CH;GAS;0;60;0.541
AT;DE;GAS;0;60;0.541
AT;CZ;GAS;0;60;0.541
AT;SK;GAS;0;60;0.541
AT;HU;GAS;0;60;0.541
AT;SI;GAS;0;60;0.541
SI;IT;GAS;0;60;0.541
SI;AT;GAS;0;60;0.541
SI;HU;GAS;0;60;0.541
SI;HR;GAS;0;60;0.541
SK;AT;GAS;0;60;0.541
SK;CZ;GAS;0;60;0.541
SK;PL;GAS;0;60;0.541
SK;RO;GAS;0;60;0.541
SK;HU;GAS;0;60;0.541
HU;AT;GAS;0;60;0.541
HU;SK;GAS;0;60;0.541
HU;RO;GAS;0;60;0.541
HU;HR;GAS;0;60;0.541
HU;SI;GAS;0;60;0.541
HR;IT;GAS;0;60;0.541
HR;SI;GAS;0;60;0.541
HR;HU;GAS;0;60;0.541
HR;GR;GAS;0;60;0.541
RO;SK;GAS;0;60;0.541
RO;HU;GAS;0;60;0.541
RO;BG;GAS;0;60;0.541
BG;RO;GAS;0;60;0.541
BG;GR;GAS;0;60;0.541
GR;IT;GAS;0;60;0.541
GR;HR;GAS;0;60;0.541
GR;BG;GAS;0;60;0.541
PT;ES;H2;0;60;1.037
ES;PT;H2;0;60;1.037
ES;FR;H2;0;60;1.037
FR;ES;H2;0;60;1.037
FR;GB;H2;0;60;1.037
FR;BE;H2;0;60;1.037
FR;LU;H2;0;60;1.037
FR;DE;H2;0;60;1.037
FR;CH;H2;0;60;1.037
FR;IT;H2;0;60;1.037
GB;IE;H2;0;60;1.037
GB;BE;H2;0;60;1.037
GB;NL;H2;0;60;1.037
GB;DK;H2;0;60;1.037
IE;GB;H2;0;60;1.037
BE;GB;H2;0;60;1.037
BE;NL;H2;0;60;1.037
BE;DK;H2;0;60;1.037
BE;LU;H2;0;60;1.037
BE;DE;H2;0;60;1.037
NL;GB;H2;0;60;1.037
NL;DK;H2;0;60;1.037
NL;BE;H2;0;60;1.037
NL;DE;H2;0;60;1.037
LU;FR;H2;0;60;1.037
LU;BE;H2;0;60;1.037
LU;DE;H2;0;60;1.037
DE;LU;H2;0;60;1.037
DE;BE;H2;0;60;1.037
DE;NL;H2;0;60;1.037
DE;DK;H2;0;60;1.037
